"Product_ID","Word","MeanFreq"
"Crunchips","salted",1.17407714206848e-08
"Crunchips","Party",1.16437437960102e-05
"Crunchips","party",4.09818766776254e-06
"Crunchips","time",2.33651098906538e-05
"Crunchips","einfach",0.000107390578080875
"Crunchips","aufreißen",3.16634241197495e-07
"Crunchips","gut",0.000183448688623138
"Crunchips","musst",1.5335016814342e-06
"Crunchips","einfach",0.000107390578080875
"Crunchips","teilen",1.35799920689686e-05
"Crunchips","qualitäts",1.67589448243195e-07
"Crunchips","garantie",4.59630338052829e-07
"Crunchips","kontrollierte",3.96557879259377e-06
"Crunchips","Markenqualität",1.57735672087316e-08
"Crunchips","beste",2.32943429476668e-05
"Crunchips","Zutaten",1.26206172894186e-06
"Crunchips","Konservierungsstoffe",6.56206458218162e-08
"Crunchips","größter",1.03427141149873e-05
"Crunchips","Sorgfalt",7.30351311400993e-06
"Crunchips","ausgewählten",1.16995176428042e-05
"Crunchips","Zutaten",1.26206172894186e-06
"Crunchips","hergestellt",2.81477603318836e-05
