"Product_ID","Word","MeanFreq"
"14gut","gut",0.000268354473519139
"14gut","günstig",9.47071157497703e-06
"14gut","Chips",2.79377741208009e-06
"14gut","Paprika",5.48470126204847e-07
"14gut","Sonnenblumenöl",1.0863067601008e-07
"14gut","goldener",5.4363690082937e-07
"14gut","Preis",7.15483256499283e-05
"14gut","2017",4.51443426641163e-07
"14gut","gut",0.000268354473519139
"14gut","günstig",9.47071157497703e-06
"14gut","Chips",2.79377741208009e-06
"14gut","Paprika",5.48470126204847e-07
"14gut","Kartoffelchips",1.46123653621544e-07
